待修复,编号,测试人员,维修人员,日期,系统,功能优化,快显消息管理,问题描述,补充信息,优先级,待修复,备注,版本号,解决情况,,,,,,
FALSE,,欧龙,,2020/5/7,Android,功能优化,快显消息管理,非实名用户在消息编辑模块，当长按文本选择粘贴时，可以修改文本；虽然点击发送不可发，但是期望显示：非实名用户不可操作该模块，点击或选中该模块即显示实名弹窗；,,最重要,验证不通过,,Android 2.1.5,点击快显消息自定义编辑模块不会弹出实名认证弹窗，但在选择模板是有实名认证弹窗,,,,,,
FALSE,,丹丽,,2020/5/7,Android,兼容性问题,快显消息管理,已发快显消息界面UI错位,,最重要,验证通过,,Android 2.1.5,"测试时间：2020.05.08 21:12
测试验证已修复，待产品确认",,,,,,
FALSE,,丹丽,,2020/5/7,Android,逻辑错误,快显消息管理,已发送快显消息后，我的发送记录中没有显示,,最重要,验证通过,,Android 2.1.5,"测试时间：2020.05.08 11：40
测试验证已修复，待产品确认",,,,,,
FALSE,,欧龙,,2020/5/7,Android,功能缺失,联系人分组,联系人又显示不全；,redmi K20 pro,最重要,待修复,,Android 2.1.5,,,,,,,
FALSE,,欧龙,,2020/5/7,Android,界面优化,本地短信接管,长按某一条短信时，会显示编辑状态，但是长按的短信没有被选中；,redmi K20 pro,最重要,待修复,`,Android 2.1.5,"有这种需求？
非BUG",,,,,,
FALSE,,欧龙,,2020/5/7,Android,界面优化,本地短信接管,编辑状态，目前点击单条短信无法选中，仅点击左边圈圈才能选中。,redmi K20 pro,最重要,验证通过,,Android 2.1.5,"测试时间：2020.05.09 18:54
测试验证已修复，待产品确认",,,,,,
,,丹丽,,2020/5/7,Android,功能缺失,本地短信接管,【本地短信管理】没有弹窗引导用户授权发送短信/彩信,,最重要,,,Android 2.1.5,"暂无法复现
非BUG",,,,,,
FALSE,,丹丽,,2020/5/7,Android,兼容性问题,本地短信接管,【性能问题】发送普通短信需要等待很长时间才能发送成功,,最重要,待修复,,Android 2.1.5,,,,,,,
FALSE,,欧龙,,2020/5/7,Android,功能缺失,本地短信接管,点击未读，一直显示正在加载，但已显示未读的短信；,redmi K20 pro,最重要,验证通过,,Android 2.1.5,"测试时间：2020.05.08 14：25
测试验证已修复，待产品确认",重复bug 见12,,,,,
FALSE,,丹丽,,2020/5/7,Android,逻辑错误,本地短信接管,双卡槽手机仅插入一张卡时，短信发送框不需要显示发送卡选择入口,,最重要,待修复,,Android 2.1.5,文档中没有，后续优化,,,,,,
FALSE,,清云,,2020/5/7,Android,逻辑错误,本地短信接管,消息编辑状态，勾选多条信息，点击删除，没有弹出二次确认框,,最重要,验证通过,,,"测试时间：2020.05.09 15:00
测试验证已修复，待产品确认",,,,,,
FALSE,,欧龙,,2020/5/7,Android,界面优化,快显消息管理,消息模板库点击热区仅字，应该整个模块都能点击进去；,redmi K20 pro,最重要,,,Android 2.1.5,没这个需求，后续优化，非bug,,,,,,
FALSE,,清云,,2020/5/7,Android,逻辑错误,本地短信接管,消息主界面选择分组，左滑点击取消分组，没有弹出引导用户是否取消分组,,最重要,验证通过,,,"测试时间：2020.05.09 15:01
测试验证已修复，待产品确认",,,,,,
FALSE,,丹丽,,2020/5/7,Android,逻辑错误,本地短信接管,将本地消息移出分组后再消息管理主界面没有看到,,最重要,验证通过,,,非bug,重复bug 见21,,,,,
FALSE,,欧龙,,2020/5/7,Android,界面优化,本地短信接管,单点发送普通短信时，顶部没有显示对方手机号,redmi K20 pro,最重要,验证通过,,,"测试时间：2020.05.08 14：30
测试验证已修复，待产品确认",,,,,,
TRUE,,清云,,2020/5/7,Android,功能缺失,本地短信接管,消息主界面选择短信，左滑没有显示拦截按钮,,最重要,,,,"拦截这期暂不做
非BUG",,,,,,
TRUE,,清云,,2020/5/7,Android,功能缺失,本地短信接管,消息主界面点击右上角...号，选择拦截短信没有响应,,最重要,,,,"拦截这期暂不做
非BUG",,,,,,
FALSE,,丹丽,,2020/5/7,Android,界面优化,本地短信接管,添加联系人后，短信详情界面的手机号信息没有更新为联系人名字,,一般,待修复,,,"需求文档未提及
非bug",,,,,,
FALSE,,欧龙,,2020/5/7,Android,逻辑错误,本地短信接管,短信消息没有显示最新的内容,redmi K20 pro,最重要,验证通过,,,"测试时间：2020.05.08 21:17
测试验证已修复，待产品确认",,,,,,
FALSE,,丹丽,,2020/5/7,Android,逻辑错误,本地短信接管,点击【发送普通消息】进入短信发送界面是，没有自动在收件人输入框置入光标，并弹窗输入键盘,,最重要,验证通过,,,"测试时间：2020.05.08 14：35
测试验证已修复，待产品确认",,,,,,
TRUE,,清云,,2020/5/7,Android,功能缺失,本地短信接管,消息主界面击右上角...号，选择管理设置，缺少设为默认短信客户端选项,,最重要,待修复,,,"默认客户端不做
非BUG",,,,,,
FALSE,,广榕,,2020/5/7,iOS,逻辑错误,,手动输入联系人后，无法把拨号键盘缩回,,最重要,验证通过,,,"测试时间：2020.05.11 17:47
测试验证已修复",,,,,,
FALSE,,广榕,,2020/5/7,iOS,界面优化,联系人分组,添加收信人界面，没有搜索联系人功能,,最重要,待修复,,,"有这个需求？
非BUG",,,,,,
