待修复,编号,测试人员,维修人员,日期,系统,功能优化,快显消息管理,问题描述,补充信息,优先级,待修复,备注,版本号,解决情况,,,,,,
FALSE,,,,2020/5/9,Android,界面优化,快显消息管理,快显消息管理—已接收消息的图标跟UI图不一致,主路径问题,最重要,验证通过,,,"测试时间：2020.05.12 15:36
测试验证通过，待产品确认",,,,,,
FALSE,,,,2020/5/9,Android,功能缺失,快显消息管理,来着C端用户发送的快显消息，在已接收消息记录中没有显示发件人的手机号/名字,,最重要,验证通过,,,"测试时间：2020.05.12 15:55
测试验证通过，待产品确认",,,,,,
FALSE,,丹丽,,2020/5/11,Android,界面优化,本地短信接管,消息管理更多设置入口，隐藏拦截短信入口，目前该功能不可用，不显示入口,,最重要,已修复待验证,,,非bug,,,mark,,,
FALSE,,丹丽,,2020/5/11,Android,功能优化,本地短信接管,消息管理更多设置入口，支持点击任何非弹窗区域，自动隐藏弹窗,,最重要,待修复,,,非bug,,,mark,,,
FALSE,,丹丽,,2020/5/11,Android,逻辑错误,快显消息管理,"我的发信记录存在很多title是【objiect ...】的异常数据
",主路径问题,最重要,未复现,,,初步猜测是垃圾数据,,,,,,
FALSE,,丹丽,,2020/5/11,Android,兼容性问题,快显消息管理,已接收消息请求加载等待时间长，建议优化，尽量5秒内加载完成,主路径问题,最重要,待修复,,,,,,,,,
FALSE,,丹丽,,2020/5/11,Android,功能优化,快显消息管理,编辑重发，会出现重复签名，请修复,主路径问题,一般,待修复,,,文档未提及，非bug.后续修复,,,,,,
FALSE,,丹丽,,2020/5/11,iOS,兼容性问题,快显消息管理,未登录用户点击快显消息分组如何和发送入口没有跳转到登录引导页,主路径问题,最重要,验证通过,,,"测试时间：2020.05.12 17:41
跳过的位置不对",,,,,,
FALSE,,丹丽,,2020/5/11,iOS,兼容性问题,快显消息管理,进入快显消息发送界面，没有推起输入框和消息模板入口,主路径问题,最重要,,,,与128 重复,,,,,,
FALSE,,丹丽,,2020/5/11,Android,逻辑错误,本地短信接管,从APP发送出去的短信，消息管理列表中显示的手机号信息会加上“+86”,,最重要,待修复,,,从系统拿的就有（非bug）,,,,,,
FALSE,,丹丽,,2020/5/11,Android,功能缺失,快显消息管理,收件人为异网用户时，没有提示无法送达点击查看详情，目前详情界面也无法测试,主路径问题,最重要,验证不通过,,,发送快显消息接口没有处理异网用户,,,,,,
FALSE,,丹丽,,2020/5/11,Android,逻辑错误,快显消息管理,已接收消息编辑状态下不支持未读筛选，需求期望支持 ,,最重要,待修复,,,一期需求不支持，二期文档未提及，请排期优化,,,,,,
FALSE,,广榕,,2020/5/11,iOS,功能优化,快显消息管理,发送快显消息界面-弹出输入键盘时，没有把消息输入框和消息模板库退器,,一般,验证通过,,,"测试时间：2020.05.12 17:08
测试验证通过，待产品确认",,,,,,
FALSE,,广榕,,2020/5/11,iOS,逻辑错误,快显消息管理,快显消息审核/发送界面-点击取消，APP闪退,,最重要,已修复待验证,,,,,,,,,
FALSE,,丹丽,,2020/5/12,Android,功能缺失,快显消息管理,异网用户提示发送失败，引导使用普通短信发送的功能缺失,,最重要,待修复,,,,,,,,,
FALSE,,丹丽,,2020/5/12,Android,逻辑错误,快显消息管理,已接收快显消息增量更新等待时间长,,最重要,待修复,,,???,,,,,,
FALSE,,丹丽,,2020/5/14,Android,逻辑错误,快显消息管理,已发送消息界面，点击界面任何区域触发收起键盘后，再次点击输入框区域不响应,主路径问题,最重要,已修复待验证,,,未复现,,,,,,
FALSE,,丹丽,,2020/5/14,Android,兼容性问题,本地短信接管,华为P20 手机 回复本地短信异常，点击发送响应异常，界面没有更新发送内容，但实际已发出,主路径问题,最重要,待修复,,,,,,,,,
FALSE,,丹丽,,2020/5/14,Android,逻辑错误,快显消息管理,快显消息模板库编辑后保存，没有新建一条自定义模板记录，而是在原有模板上更改。,主路径问题,最重要,待修复,,,需求文档未提及编辑是新建一条模板，不删除旧模板；,,,,,,
FALSE,,丹丽,,2020/5/14,Android,逻辑错误,本地短信接管,消息同步后，系统删除某条消息，在APP没有同步删除，点击该消息崩溃。,主路径问题,最重要,已修复待验证,,,,,,,,,
FALSE,,东蔚,,2020/5/14,iOS,界面优化,快显消息管理,首次登陆强指引发送按钮没有圆角,非bug,一般,已修复待验证,,,,,,,,,
FALSE,,丹丽,,2020/5/14,Android,逻辑错误,本地短信接管,搜索结果为空时，应该显示无相关消息，不是引导用户设置短信读取权限,主路径问题,最重要,待修复,,,,,,,,,
FALSE,,丹丽,,2020/5/14,Android,兼容性问题,本地短信接管,华为P20 pro会出现同步到空白消息的情况，来源不明,主路径问题,最重要,待修复,,,,,,,,,
FALSE,,东蔚,,2020/5/14,Android,界面优化,快显消息管理,我的模板内页显示与设计稿不同,非bug,一般,已修复待验证,,,,,,,,,
FALSE,,东蔚,,2020/5/14,Android,界面优化,本地短信接管,消息之间显示间距与设计稿不同,非bug,一般,待修复,,,,,,,,,
FALSE,,广榕,,2020/5/14,Android,界面优化,本地短信接管,消息管理界面-点击搜索，输入键盘会把，下方功能栏推起,,最重要,已修复待验证,,,,,,mark,,,
FALSE,,广榕,,2020/5/14,Android,逻辑错误,本地短信接管,手机删除本地短信，客户端没有同步，点击被删除的短信，APP闪退,,最重要,已修复待验证,,,,,,,,,
FALSE,,广榕,,2020/5/14,Android,兼容性问题,本地短信接管,华为手机（P20 pro android 4.4，P20 Android 10，Nova 5Pro Android 10），回复普通短信，发送成功，但客户端与手机自带信息功能都没有发送记录,,最重要,待修复,,,重复，见132,,,,,,
FALSE,,广榕,,2020/5/14,Android,兼容性问题,本地短信接管,华为P20 Pro（android 4.4）查看本地短信详情，会出现一个异常的框,,最重要,待修复,,,,,,,,,
FALSE,,广榕,,2020/5/14,Android,兼容性问题,本地短信接管,小米 max2（android 7.1） 新消息没有同步,,一般,待修复,,,,,,,,,
FALSE,,广榕,,2020/5/15,Android,功能优化,本地短信接管,APP内删除信息，被删除的会话人再发送一条短信过来，APP没同步进来，但手机本地会有该新消息,,一般,待修复,,,,,,,,,
FALSE,,广榕,,2020/5/18,Android,功能优化,本地短信接管,删除本地信息，APP端的消息管理界面还能看到该会话，点击会话，内容为空,,一般,待修复,,,目前的设计及由于系统硬核限制，只能做到这样,,,,,,
FALSE,,广榕,,2020/5/18,Android,功能优化,本地短信接管,发送普通短信是，无法感知是否已发送，多次点击“发送”按钮会发送多次,,最重要,待修复,,,交互需加需求和设计，请排期,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,
